Area,Sea,ShipName,Date,Month,Year,Cause,Notes,Reason,Latitude,Longitude
Pacific,North Pacific Sea,USS Admiral W. L. Capps,16-Jun-00,6,2000,Sunk,Sunk as target,Intentional,23.584,-159.833389
Pacific,North Pacific Sea,Agano,15-Feb-44,2,1944,Torpedoed,Torpedoed by USS Skate,Intentional,10.183,151.7
Pacific,North Pacific Sea,Akagi,5-Jun-42,6,1942,Others,Scuttled during the Battle of Midway,Intentional,30.5,-178.667
Pacific,North Pacific Sea,Chuyo,4-Dec-43,12,1943,Sunk,Sunk by USS Sailfish,Intentional,32.617,143.65
Pacific,North Pacific Sea,USS Corvina,16-Nov-43,11,1943,Torpedoed,Torpedoed by I-176,Intentional,5.083,151.167
Pacific,North Pacific Sea,USS Gambier Bay,25-Oct-44,10,1944,Sunk,Sunk in the Battle of Samar,Intentional,11.767,126.15
Pacific,North Pacific Sea,USS Hammann,6-Jun-42,6,1942,Torpedoed,Torpedoed by I-168 in the Battle of Midway,Intentional,30.6,-176.567
Pacific,North Pacific Sea,Harusame,8-Jun-44,6,1944,Sunk,Sunk by USAAF B-25 Bombers,Intentional,-0.083,132.75
Pacific,North Pacific Sea,Hayate,11-Dec-41,12,1941,Sunk,Sunk in the Battle of Wake Island,Intentional,19.167,166.367
Pacific,North Pacific Sea,I-28,17-May-42,5,1942,Torpedoed,Torpedoed by USS Tautog,Intentional,6.5,152
Pacific,North Pacific Sea,I-165,27-Jun-45,6,1945,Sunk,Sunk by US Aircrafts,Intentional,15.467,153.65
Pacific,North Pacific Sea,I-183,29-Apr-44,4,1944,Sunk,Sunk by USS Pogy,Intentional,32.117,-133.05
Pacific,North Pacific Sea,Ikazuchi,13-Apr-44,4,1944,Torpedoed,Torpedoed by USS Harder,Intentional,10.217,143.85
Pacific,North Pacific Sea,Katori,19-Feb-44,2,1944,Sunk,Sunk by USS Iowa,Intentional,7.75,151.333
Pacific,North Pacific Sea,Kisaragi,11-Dec-41,12,1941,Sunk,Sunk by Grumman F4F Wildcat fighters,Intentional,18.917,166.283
Pacific,North Pacific Sea,USS Liscome Bay,24-Nov-43,11,1943,Torpedoed,Torpedoed by I-175,Intentional,2.567,172.5
